Symbol,Name,Assets
BIDU,Baidu Inc,8.97%
NVDA,NVIDIA Corp,8.55%
N/A,U.S. Dollar,25.33%
AAPL,Apple Inc.,16.79%
MSFT,Microsoft Corporation,16.70%
AVGO,Broadcom Inc.,3.88%
NVDA,NVIDIA Corporation,3.34%
ADBE,Adobe Incorporated,2.24%
CRM,"Salesforce, Inc.",2.09%
AMD,"Advanced Micro Devices, Inc.",1.80%
ACN,Accenture Plc Class A,1.76%
CSCO,"Cisco Systems, Inc.",1.66%
INTC,Intel Corporation,1.59%
INTU,Intuit Inc.,1.42%
ORCL,Oracle Corporation,1.36%
QCOM,QUALCOMM Incorporated,1.29%
TXN,Texas Instruments Incorporated,1.24%
PSTG,"Pure Storage, Inc. Class A",3.90%
NTNX,"Nutanix, Inc. Class A",3.90%
ANET,"Arista Networks, Inc.",3.85%
GOOGL,Alphabet Inc. Class A,3.79%
AMZN,"Amazon.com, Inc.",3.78%
IBM,International Business Machines Corporation,3.66%
MSFT,Microsoft Corporation,3.55%
ORCL,Oracle Corporation,3.25%
MDB,"MongoDB, Inc. Class A",2.92%
NET,Cloudflare Inc Class A,2.60%
AKAM,"Akamai Technologies, Inc.",2.50%
CSCO,"Cisco Systems, Inc.",2.49%
GTLB,"Gitlab, Inc. Class A",2.32%
TEAM,Atlassian Corp Class A,2.26%
TWLO,"Twilio, Inc. Class A",2.10%
CCO,Cameco Corporation,23.73%
U.UT,Sprott Physical Uranium Trust,11.99%
NXE,NexGen Energy Ltd.,6.63%
KAP,National Atomic Company Kazatomprom JSC Sponsored GDR RegS,5.86%
UEC,Uranium Energy Corp.,5.40%
PDN,Paladin Energy Ltd,4.29%
YCA,Yellow Cake Plc,3.53%
DML,Denison Mines Corp.,3.31%
EFR,Energy Fuels Inc.,2.57%
BOE,Boss Energy Limited,2.12%
028260,SAMSUNG C&T CORP,1.81%
7011,"Mitsubishi Heavy Industries, Ltd.",1.78%
BHP,BHP Group Ltd,1.66%
8001,Itochu Corporation,1.57%
006360,GS Engineering & Construction Corp.,1.53%
DHI,"D.R. Horton, Inc.",15.12%
LEN,Lennar Corporation Class A,12.33%
PHM,"PulteGroup, Inc.",7.39%
NVR,"NVR, Inc.",7.31%
HD,"Home Depot, Inc.",4.38%
LOW,"Lowe\'s Companies, Inc.",4.37%
SHW,Sherwin-Williams Company,4.35%
BLD,TopBuild Corp.,3.93%
TOL,"Toll Brothers, Inc.",3.69%
BLDR,"Builders FirstSource, Inc.",2.86%
MAS,Masco Corporation,2.16%
MTH,Meritage Homes Corporation,2.12%
LII,Lennox International Inc.,2.00%
TMHC,Taylor Morrison Home Corporation,1.90%
OC,Owens Corning,1.88%
